;Inv.Nr.;Datierung_x;Künstler_x;Datierung_y;Künstler_y
447;G-1991-443;1878;unbekannter Künstler;-;-
448;G-1991-464;1878;unbekannter Künstler;-;-
449;G-1991-465;1878;unbekannter Künstler;-;-
450;G-1991-489;1878;unbekannter Künstler;-;-
451;G-1991-515;1878;unbekannter Künstler;-;-
452;G-1991-537;1878;;-;-
453;G-1991-539;1878;;-;-
454;G-1991-544;1878;unbekannter Künstler;-;-
455;G-1991-553;1878;unbekannter Künstler, Wittmaack ?;-;-
456;G-1991-616;1878;;-;-
457;G-1990-005;1879;unbekannter Künstler;-;-
458;G-1990-019;1879;unbekannter Künstler;-;-
459;G-1991-035;1879;unbekannter Künstler;;
460;G-1991-040;1879;unbekannter Künstler;;
461;G-1991-088;1879;unbekannter Künstler;-;-
462;G-1991-150;1879;unbekannter Künstler;-;-
463;G-1991-151;1879;unbekannter Künstler;-;-
464;G-1991-214;1879;;-;-
465;G-1991-288;1879;unbekannter Künstler;-;-
466;G-1991-386;1879;unbekannter Künstler;-;-
467;G-1991-403;1879;;-;-
468;G-1991-410;1879;unbekannter Künstler;-;-
469;G-1991-504;1879;unbekannter Künstler;-;-
470;G-1991-525;1879;;-;-
471;G-1991-149;1879 - 1878;unbekannter Künstler;-;-
472;G-1991-011;1880;unbekannter Künstler;-;-
473;G-1991-022;1880;unbekannter Künstler;;
474;G-1991-072;1880;unbekannter Künstler;-;-
475;G-1991-109;1880;unbekannter Künstler;-;-
476;G-1991-112;1880;unbekannter Künstler;;
477;G-1991-145;1880;unbekannter Künstler;-;-
478;G-1991-147;1880;unbekannter Künstler;-;-
479;G-1991-167;1880;unbekannter Künstler;-;-
480;G-1991-194;1880;;-;-
481;G-1991-217;1880;unbekannter Künstler;-;-
482;G-1991-329;1880;unbekannter Künstler;-;-
483;G-1991-377;1880;unbekannter Künstler;-;-
484;G-1991-402;1880;unbekannter Künstler;-;-
485;G-1991-441;1880;;-;-
486;G-1991-446;1880;unbekannter Künstler;-;-
487;G-1991-473;1880;unbekannter Künstler;-;-
488;G-1991-517;1880;unbekannter Künstler;-;-
489;G-1991-535;1880;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
490;G-1991-548;1880;unbekannter Künstler;-;-
491;G-1991-557;1880;;-;-
492;G-1991-584;1880;;-;-
493;G-1991-588;1880;unbekannter Künstler;-;-
494;G-1991-598;1880;;-;-
495;G-1991-599;1880;;-;-
496;G-1991-611;1880;unbekannter Künstler;-;-
497;G-1991-624;1880;;-;-
498;G-1990-036;1881;unbekannter Künstler;-;-
499;G-1990-057;1881;unbekannter Künstler;-;-
500;G-1990-080;1881;unbekannter Künstler;-;-
501;G-1990-081;1881;unbekannter Künstler;-;-
502;G-1991-027;1881;unbekannter Künstler;-;-
503;G-1991-060;1881;unbekannter Künstler;-;-
504;G-1991-062;1881;unbekannter Künstler;-;-
505;G-1991-064;1881;unbekannter Künstler;-;-
506;G-1991-074;1881;unbekannter Künstler;-;-
507;G-1991-096;1881;unbekannter Künstler;-;-
508;G-1991-122;1881;unbekannter Künstler;-;-
509;G-1991-127;1881;unbekannter Künstler;-;-
510;G-1991-186;1881;unbekannter Künstler;-;-
511;G-1991-243;1881;;-;-
512;G-1991-246;1881;;-;-
513;G-1991-263;1881;;-;-
514;G-1991-264;1881;unbekannter Künstler;-;-
515;G-1991-270;1881;;-;-
516;G-1991-289;1881;unbekannter Künstler;-;-
517;G-1991-309;1881;;-;-
518;G-1991-311;1881;;-;-
519;G-1991-323;1881;unbekannter Künstler;-;-
520;G-1991-347;1881;;-;-
521;G-1991-376;1881;;-;-
522;G-1991-381;1881;unbekannter Künstler;-;-
523;G-1991-395;1881;unbekannter Künstler;-;-
524;G-1991-397;1881;;-;-
525;G-1991-427;1881;unbekannter Künstler;-;-
526;G-1991-444;1881;unbekannter Künstler;-;-
527;G-1991-480;1881;;-;-
528;G-1991-482;1881;unbekannter Künstler;-;-
529;G-1991-512;1881;unbekannter Künstler;-;-
530;G-1991-520;1881;unbekannter Künstler;-;-
531;G-1991-563;1881;unbekannter Künstler;-;-
532;G-1991-565;1881;unbekannter Künstler;-;-
533;G-1991-609;1881;unbekannter Künstler;-;-
534;G-1990-136b;1881;unbekannter Künstler;-;-
535;G-1990-028;1882;unbekannter Künstler;-;-
536;G-1990-045;1882;unbekannter Künstler;-;-
537;G-1990-073;1882;unbekannter Künstler;-;-
538;G-1990-075;1882;unbekannter Künstler;-;-
539;G-1990-140;1882;;;
540;G-1991-021;1882;unbekannter Künstler;-;-
541;G-1991-038;1882;unbekannter Künstler;;
542;G-1991-084;1882;unbekannter Künstler;-;-
543;G-1991-085;1882;unbekannter Künstler;;
544;G-1991-105;1882;unbekannter Künstler;-;-
545;G-1991-117;1882;unbekannter Künstler;-;-
546;G-1991-137;1882;unbekannter Künstler;;
547;G-1991-166;1882;unbekannter Künstler;-;-
548;G-1991-181;1882;unbekannter Künstler;-;-
549;G-1991-183;1882;unbekannter Künstler;-;-
550;G-1991-187;1882;;-;-
551;G-1991-251;1882;unbekannter Künstler;-;-
552;G-1991-259;1882;unbekannter Künstler;-;-
553;G-1991-300;1882;unbekannter Künstler;-;-
554;G-1991-316;1882;;-;-
555;G-1991-367;1882;;-;-
556;G-1991-370;1882;;-;-
557;G-1991-418;1882;unbekannter Künstler;-;-
558;G-1991-440;1882;;-;-
559;G-1991-469;1882;unbekannter Künstler;-;-
560;G-1991-474;1882;unbekannter Künstler;-;-
561;G-1991-530;1882;;-;-
562;G-1991-538;1882;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
563;G-1991-574;1882;unbekannter Künstler;-;-
564;G-1991-576;1882;;-;-
565;G-1991-603;1882;;-;-
566;G-1991-632;1882;;-;-
567;G-1990-022;1883;unbekannter Künstler, evtl. J. Fürst;-;-
568;G-1990-033;1883;unbekannter Künstler;-;-
569;G-1990-060;1883;unbekannter Künstler;-;-
570;G-1990-062;1883;unbekannter Künstler;-;-
571;G-1990-067;1883;unbekannter Künstler;-;-
572;G-1990-079;1883;unbekannter Künstler;-;-
573;G-1990-084;1883;unbekannter Künstler;-;-
574;G-1990-135;1883;;-;-
575;G-1991-033;1883;unbekannter Künstler;-;-
576;G-1991-079;1883;unbekannter Künstler;-;-
577;G-1991-106;1883;unbekannter Künstler;-;-
578;G-1991-107;1883;unbekannter Künstler;-;-
579;G-1991-110;1883;unbekannter Künstler;-;-
580;G-1991-114;1883;unbekannter Künstler;-;-
581;G-1991-119;1883;unbekannter Künstler;-;-
582;G-1991-202;1883;;-;-
583;G-1991-212;1883;;-;-
584;G-1991-229;1883;unbekannter Künstler;-;-
585;G-1991-247;1883;;-;-
586;G-1991-290;1883;unbekannter Künstler;-;-
587;G-1991-414;1883;unbekannter Künstler;-;-
588;G-1991-428;1883;unbekannter Künstler;-;-
589;G-1991-429;1883;unbekannter Künstler;-;-
590;G-1991-483;1883;Fürst, Julius (1861-1938);-;-
591;G-1991-492;1883;unbekannter Künstler;-;-
592;G-1991-503;1883;unbekannter Künstler;-;-
593;G-1991-568;1883;unbekannter Künstler;-;-
594;G-1991-580;1883;;-;-
595;G-1990-136a;1883;unbekannter Künstler;-;-
596;G-1990-136c;1883;unbekannter Künstler;-;-
597;G-1990-183;1883 - 1889;unbekannter Künstler;-;-
598;G-1990-001;1884;unbekannter Künstler;-;-
599;G-1990-048;1884;unbekannter Künstler;-;-
600;G-1990-059;1884;unbekannter Künstler;-;-
601;G-1990-061;1884;unbekannter Künstler;-;-
602;G-1990-065;1884;unbekannter Künstler;-;-
603;G-1990-068;1884;unbekannter Künstler;-;-
604;G-1990-078;1884;unbekannter Künstler;-;-
605;G-1990-126;1884;unbekannter Künstler;-;-
606;G-1990-180;1884;unbekannter Künstler;-;-
607;G-1991-051;1884;unbekannter Künstler;-;-
608;G-1991-053;1884;unbekannter Künstler;-;-
609;G-1991-054;1884;unbekannter Künstler;-;-
610;G-1991-071;1884;unbekannter Künstler;-;-
611;G-1991-111;1884;unbekannter Künstler;-;-
612;G-1991-121;1884;unbekannter Künstler;-;-
613;G-1991-130;1884;unbekannter Künstler;-;-
614;G-1991-213;1884;;-;-
615;G-1991-222;1884;;-;-
616;G-1991-241;1884;unbekannter Künstler;-;-
617;G-1991-327;1884;unbekannter Künstler;-;-
618;G-1991-413;1884;unbekannter Künstler;-;-
619;G-1991-431;1884;unbekannter Künstler;-;-
620;G-1991-452;1884;;-;-
621;G-1991-470;1884;unbekannter Künstler;-;-
622;G-1991-475;1884;unbekannter Künstler;-;-
623;G-1991-495;1884;unbekannter Künstler;-;-
624;G-1991-502;1884;unbekannter Künstler;-;-
625;G-1991-506;1884;unbekannter Künstler;-;-
626;G-1991-532;1884;Fürst, Julius, ? (1861-1938);-;-
627;G-1991-551;1884;;-;-
628;G-1991-587;1884;unbekannter Künstler;-;-
629;G-1990-083;1885;unbekannter Künstler;-;-
630;G-1991-001;1885;unbekannter Künstler;-;-
631;G-1991-083;1885;unbekannter Künstler;;
632;G-1991-094;1885;unbekannter Künstler;-;-
633;G-1991-118;1885;unbekannter Künstler;-;-
634;G-1991-135;1885;Fürst, Julius, signiert (1861-1938);-;-
635;G-1991-227;1885;unbekannter Künstler;-;-
636;G-1991-463;1885;;-;-
637;G-1991-577;1885;Brühning, Frau;-;-
638;G-1990-012;1886;unbekannter Künstler;-;-
639;G-1990-047;1886;unbekannter Künstler;-;-
640;G-1990-070;1886;unbekannter Künstler;-;-
641;G-1990-148;1886;;-;-
642;G-1991-043;1886;unbekannter Künstler;;
643;G-1991-044;1886;unbekannter Künstler;;
644;G-1991-045;1886;unbekannter Künstler;;
645;G-1991-050;1886;unbekannter Künstler;;
646;G-1991-298;1886;;-;-
647;G-1991-344;1886;unbekannter Künstler;-;-
648;G-1991-396;1886;;-;-
649;G-1991-519;1886;;-;-
650;G-1990-064;1887;unbekannter Künstler;-;-
651;G-1990-066;1887;unbekannter Künstler;-;-
652;G-1991-115;1887;unbekannter Künstler;-;-
653;G-1991-238;1887;;-;-
654;G-1991-405;1887;unbekannter Künstler;-;-
655;G-1991-430;1887;unbekannter Künstler;-;-
656;G-1991-477;1887;unbekannter Künstler;-;-
657;G-1990-006;1888;unbekannter Künstler;-;-
658;G-1990-094;1888;unbekannter Künstler;-;-
659;G-1991-293;1888;unbekannter Künstler;-;-
660;G-1991-578;1888;unbekannter Künstler;-;-
661;G-1991-625;1888;Fürst, Julius (1861-1938);-;-
662;G-1991-636;1888;unbekannter Künstler;-;-
663;G-1990-018;1889;unbekannter Künstler;-;-
664;G-1990-152;1889;unbekannter Künstler;-;-
665;G-1991-006;1889;unbekannter Künstler;-;-
666;G-1991-047;1889;"unbekannter Künstler; Hampke,, vgl. G-1991-139";;
667;G-1991-139;1889;"unbekannter Künstler, Beschriftung u.li. ist nicht eindeutig Signatur: Hampke; Hampke,";-;-
668;G-1991-571;1889;unbekannter Künstler;-;-
669;G-1990-181;1889 - 1890;unbekannter Künstler;-;-
670;G-1990-082;1890;unbekannter Künstler, Kürzel: HR;-;-
671;G-1990-150;1890;;-;-
672;G-1991-138;1890;unbekannter Künstler;-;-
673;G-1991-146;1890;unbekannter Künstler;;
674;G-1991-152;1890;unbekannter Künstler;-;-
675;G-1991-159;1890;unbekannter Künstler, evtl. Rüdel?;-;-
676;G-1991-160;1890;unbekannter Künstler, Rüdel?;-;-
677;G-1991-161;1890;unbekannter Künstler;-;-
678;G-1991-182-002;1890;unbekannter Künstler;;
679;G-1991-456;1891;unbekannter Künstler;-;-
680;G-1991-604;1891;Schmidt,;-;-
681;G-1990-043;1892;unbekannter Künstler, evtl. J. Fürst;-;-
682;G-1990-072;1892;unbekannter Künstler, evtl. Fürst;-;-
683;G-1990-074;1892;unbekannter Künstler;-;-
684;G-1990-116;1892;unbekannter Künstler, evtl. J. Fürst;-;-
685;G-1990-130;1892;Fürst, Julius (1861-1938);-;-
686;G-1990-131;1892;unbekannter Künstler, evtl. J. Fürst;-;-
687;G-1990-177;1892;unbekannter Künstler;-;-
688;G-1990-178;1892;unbekannter Künstler;-;-
689;G-1990-179;1892;unbekannter Künstler;-;-
690;G-1991-008;1892;Fürst, Julius (1861-1938);-;-
691;G-1991-076;1892;Fürst, Julius (1861-1938);-;-
692;G-1991-158;1892;Fürst, Julius (1861-1938);-;-
693;G-1991-164;1892;unbekannter Künstler, J. Fürst?;-;-
694;G-1991-190;1892;Fürst, Julius (1861-1938);-;-
695;G-1991-198;1892;Fürst, Julius (1861-1938);-;-
696;G-1991-262;1892;Fürst, Julius (1861-1938);-;-
697;G-1991-266;1892;Fürst, Julius (1861-1938);-;-
698;G-1991-284;1892;Fürst, Julius (1861-1938);-;-
699;G-1991-363;1892;unbekannter Künstler;-;-
700;G-1991-379;1892;;-;-
701;G-1991-390;1892;Fürst, Julius (1861-1938);-;-
702;G-1991-398;1892;Fürst, Julius (1861-1938);-;-
703;G-1991-437;1892;;-;-
704;G-1991-513;1892;Fürst, Julius (1861-1938);-;-
705;G-1991-522;1892;Fürst, Julius (1861-1938);-;-
706;G-1991-536;1892;;-;-
707;G-1991-550;1892;Fürst, Julius, ? (1861-1938);-;-
708;G-1991-608;1892;;-;-
709;G-1990-024;1893;unbekannter Künstler, evtl. J. Fürst;-;-
710;G-1990-030;1893;unbekannter Künstler, evtl. J. Fürst;-;-
711;G-1990-031;1893;unbekannter Künstler, evtl. J. Fürst;-;-
712;G-1990-032;1893;unbekannter Künstler, evtl. J. Fürst;-;-
713;G-1990-044;1893;unbekannter Künstler, evtl. J. Fürst;-;-
714;G-1990-053;1893;unbekannter Künstler;-;-
715;G-1990-058;1893;unbekannter Künstler;-;-
716;G-1990-063;1893;unbekannter Künstler, evtl. J. Fürst;-;-
717;G-1990-077;1893;Fürst, Julius (1861-1938);-;-
718;G-1990-149;1893;Fürst, Julius (1861-1938);-;-
719;G-1990-151;1893;Fürst, Julius, ? (1861-1938);-;-
720;G-1990-154;1893;;-;-
721;G-1990-155;1893;;-;-
722;G-1990-161;1893;Fürst, Julius, vermutlich (1861-1938);-;-
723;G-1990-163;1893;;-;-
724;G-1990-164;1893;Fürst, Julius, vermutlich (1861-1938);-;-
725;G-1990-165;1893;;-;-
726;G-1991-073;1893;Fürst, Julius (1861-1938);-;-
727;G-1991-173;1893;Fürst, Julius (1861-1938);-;-
728;G-1991-216;1893;Fürst, Julius (1861-1938);-;-
729;G-1991-219;1893;Fürst, Julius (1861-1938);-;-
730;G-1991-256;1893;unbekannter Künstler, Datierung, Schrift und Stil sprechen für Julius Fürst als Zeichner;-;-
731;G-1990-162;1893 - 1894;Fürst, Julius (1861-1938);-;-
732;G-1990-026;1894;unbekannter Künstler, evtl. J. Fürst;-;-
733;G-1990-034;1894;unbekannter Künstler, evtl. J. Fürst;-;-
734;G-1990-035;1894;Fürst, Julius (1861-1938);-;-
735;G-1990-042;1894;unbekannter Künstler;-;-
736;G-1990-071;1894;unbekannter Künstler, evtl. J. Fürst;-;-
737;G-1990-115;1894;Fürst, Julius (1861-1938);-;-
738;G-1991-142;1894;Fürst, Julius (1861-1938);-;-
739;G-1991-174;1894;Fürst, Julius (1861-1938);-;-
740;G-1990-146-001;1894;unbekannter Künstler;-;-
741;G-1990-052;1895;Fürst, Julius (1861-1938);-;-
742;G-1990-076;1895;Fürst, Julius (1861-1938);-;-
743;G-1990-096;1895;Fürst, Julius (1861-1938);;
744;G-1990-137;1895;unbekannter Künstler, evtl. Fürst;-;-
745;G-1990-139;1895;Fürst, Julius (1861-1938);-;-
746;G-1990-157;1895;Fürst, Julius (1861-1938);-;-
747;G-1990-167;1895;Fürst, Julius (1861-1938);-;-
748;G-1991-013;1895;Fürst, Julius (1861-1938);-;-
749;G-1991-098;1895;Fürst, Julius (1861-1938);;
750;G-1991-126;1895;Fürst, Julius (1861-1938);-;-
751;G-1991-172;1895;Fürst, Julius (1861-1938);-;-
752;G-1991-185;1895;Fürst, Julius, auf der Rückseite mit Bleistift signiert (1861-1938);-;-
753;G-1991-453;1895;Fürst, Julius (1861-1938);-;-
754;G-1991-527;1895;Fürst, Julius (1861-1938);-;-
755;G-1991-549;1895;Fürst, Julius (1861-1938);-;-
756;G-1991-610;1895;Fürst, Julius, mit Bleistift auf der Rückseite mittig signiert (1861-1938);-;-
757;G-1991-192;1896;;-;-
758;G-1991-380;1896;Fürst, Julius (1861-1938);-;-
759;G-1990-153;1897;;-;-
760;G-1991-055;1898;Fürst, Julius (1861-1938);;
761;G-1990-027;19. Jahrhundert;unbekannter Künstler, evtl. Prof. Stromeyer?;-;-
762;G-1991-042;19. Jahrhundert;unbekannter Künstler;-;-
763;G-1991-082;19. Jahrhundert;Resener, C.;-;-
764;G-1991-108;19. Jahrhundert;unbekannter Künstler;-;-
765;G-1991-193;19. Jahrhundert;unbekannter Künstler;-;-
766;G-1990-029;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
767;G-1990-037;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
768;G-1990-097;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
769;G-1990-100;2. Hälfte 19. Jahrhundert;Döring, Dr.;-;-
770;G-1990-110;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
771;G-1990-113;2. Hälfte 19. Jahrhundert;unbekannter Künstler, evtl. Fürst;-;-
772;G-1990-114;2. Hälfte 19. Jahrhundert;unbekannter Künstler, Julius Fürst?;-;-
773;G-1990-156;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
774;G-1990-159;2. Hälfte 19. Jahrhundert;;-;-
775;G-1990-160;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
776;G-1990-168;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
777;G-1990-169;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
778;G-1990-172;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
779;G-1990-173;2. Hälfte 19. Jahrhundert;;-;-
780;G-1990-174;2. Hälfte 19. Jahrhundert;;-;-
781;G-1990-194;2. Hälfte 19. Jahrhundert;Lithographische Anstalt F. Reinhold, München;-;-
782;G-1990-195;2. Hälfte 19. Jahrhundert;;-;-
783;G-1990-196;2. Hälfte 19. Jahrhundert;;-;-
784;G-1991-091;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
785;G-1991-237;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
786;G-1991-419;2. Hälfte 19. Jahrhundert;Rettich, Karl Lorenz (1841-1904);-;-
787;G-1991-467;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
788;G-1991-476;2. Hälfte 19. Jahrhundert;;-;-
789;G-1991-478;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
790;G-1991-481;2. Hälfte 19. Jahrhundert;;-;-
791;G-1991-486;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
792;G-1991-491;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
793;G-1991-493;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
794;G-1991-499;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
795;G-1991-500;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
796;G-1991-501;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
797;G-1991-505;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
798;G-1991-554;2. Hälfte 19. Jahrhundert;;-;-
799;G-1991-562;2. Hälfte 19. Jahrhundert;unbekannter Künstler;-;-
800;G-1991-633;2. Hälfte 19. Jahrhundert;;-;-
801;G-1991-195;3. Drittel 19. Jahrhundert;unbekannter Künstler, Pr;-;-
802;G-1991-268;3. Viertel 19. Jahrhundert;Atinchlig,, tätig um 1856;-;-
803;G-1990-138;4. Viertel 19. Jahrhundert;Fürst, Julius (1861-1938);-;-
804;G-1991-479;Mitte 19. Jahrhundert;Wittmaack, Johann Heinrich (1822-1874);-;-
805;G-1991-635;Mitte 19. Jahrhundert;Mencke, Dr.;-;-
806;G-1990-104_1;;;-;-
807;G-1990-104_2;;;-;-
808;G-1990-105_1;;;-;-
809;G-1990-105_2;;;-;-
810;G-1990-133_1;;;-;-
811;G-1990-140_1;;;-;-
812;G-1990-140_2;;;-;-
813;G-1990-146-002(b);;;-;-
814;G-1990-146;;;-;-
815;G-1990-166;;;-;-
816;G-1991-029;;;-;-
817;G-1991-061;;;-;-
818;G-1991-065;;;-;-
819;G-1991-116;;;-;-
820;G-1991-203;;;-;-
821;G-1991-206;;;-;-
822;G-1991-269;;;-;-
823;G-1991-325;;;-;-
824;G-1991-348;;;-;-
825;G-1991-349;;;-;-
826;G-1991-371;;;-;-
827;G-1991-398_2;;;-;-
828;G-1991-451;;;-;-
829;G-1991-461;;;-;-
830;G-1991-471;;;-;-
831;G-1991-485;;;-;-
832;G-1991-523;;;-;-
833;G-1991-552;;;-;-
834;G-1991-559;;;-;-
835;G-1991-589c-003;;;-;-
